UNITID,ADDRESS,SCIENTIFIC_NAME,COMMON_NAME,TREEHEIGHT,DIAMETER,LAT,LONG,OWNERSHIP,EXCEPTIONAL
TRE-44568,1420 E HOWELL ST,Pseudotsuga menziesii,Douglas Fir,0,37,47.6176639159282,-122.313307414452,PRIV,N
TRE-500214,,Prunus emarginata,Bitter Cherry,0,3,47.690418299535,-122.333700654879,SDOT,N
TRE-22946,9242 2ND AVE NW,Cornus nuttallii,Pacific Dogwood,0,6,47.6972824713353,-122.359310417197,PRIV,N
TRE-49311,171 LAKE WASHINGTON BV,Tsuga heterophylla,Western Hemlock,0,10,47.6196056351541,-122.282540885573,PRIV,N
TRE-15051,136 NW 136TH ST,Tsuga heterophylla,Western Hemlock,0,5,47.72870633552,-122.35977251086,PRIV,N
TRE-20174,4233 ASHWORTH AVE N,Thuja plicata,Western Red Cedar,0,31,47.6591238170059,-122.339871317226,PRIV,N
TRE-13035,4718 38TH AV NE,Acer macrophyllum,Bigleaf Maple,0,23,47.6627417015325,-122.287458180019,PRIV,N
TRE-85100,938 SW HOLDEN ST,Acer circinatum,Vine Maple,0,6,47.5342490510122,-122.349197386496,PRIV,N
TRE-3300,925 NW 63RD ST,Betula papyrifera,Paper (Canoe) Birch,0,10,47.6744971598081,-122.36992952856,PRIV,N
TRE-48760,3711 E MADISON ST,Thuja plicata,Western Red Cedar,0,18,47.6305348784554,-122.284201057929,PRIV,N
TRE-84315,6360 BEACH DR SW,Thuja plicata,Western Red Cedar,0,2,47.5451218313245,-122.398107179421,PRIV,N
TRE-19851,11039 40TH AV NE,Thuja plicata,Western Red Cedar,0,15,47.7095043373336,-122.285440276059,PRIV,N
TRE-7396,2330 N 61ST ST,Cornus nuttallii,Pacific Dogwood,0,22,47.6729321138807,-122.329712287922,PRIV,N
TRE-66965,7511 41ST AV NE,Tsuga heterophylla,Western Hemlock,0,6,47.683520645175,-122.284210635943,PRIV,N
TRE-1035154,10500 5TH AVE NE,Fraxinus latifolia,Oregon Ash,0,3,47.7050529985411,-122.32260000087,SDOT,N
TRE-15574,511 N 142ND ST,Tsuga heterophylla,Western Hemlock,0,12,47.7315262896555,-122.352291743722,PRIV,N
TRE-32713,1624 9TH AV W,Acer macrophyllum,Bigleaf Maple,0,5,47.6346622086936,-122.369020367159,PRIV,N
TRE-5219,725 N 63RD ST,Acer macrophyllum,Bigleaf Maple,0,3,47.6745312687312,-122.348754314131,PRIV,N
TRE-61703,7416 DAYTON AV N,Acer circinatum,Vine Maple,0,1,47.6832608072717,-122.352127395101,PRIV,N
TRE-71920,4200 SW ATLANTIC ST,Thuja plicata,Western Red Cedar,0,19,47.5908217629325,-122.386044061585,PRIV,N
TRE-22146,3601 AURORA AV N,Pinus contorta,Shore Pine,0,2,47.6517769044536,-122.347807028548,PRIV,N
TRE-83236,3961 S FINDLAY ST,Pseudotsuga menziesii,Douglas Fir,0,26,47.5518359617741,-122.280871068014,PRIV,N
TRE-25506,3203 NE 104TH ST,Thuja plicata,Western Red Cedar,0,25,47.7035724681313,-122.294037682964,PRIV,N
TRE-86772,4509 SW BRACE POINT DR,Thuja plicata,Western Red Cedar,0,9,47.5199336868957,-122.391224398214,PRIV,N
TRE-60598,702 34TH AVE,Thuja plicata,Western Red Cedar,0,34,47.6080206779864,-122.289319486722,PRIV,N
TRE-70578,1605 S MAIN ST,Acer macrophyllum,Bigleaf Maple,0,30,47.5999336628748,-122.311101505853,PRIV,N
TRE-25709,2013 NE 98TH ST,Thuja plicata,Western Red Cedar,0,2,47.7002477312805,-122.306148534673,PRIV,N
TRE-15387,14039 ASHWORTH AV N,Pseudotsuga menziesii,Douglas Fir,0,16,47.7315502605156,-122.339733747455,PRIV,N
TRE-29655,2807 VIEWMONT WY W,Betula papyrifera,Paper (Canoe) Birch,0,16,47.6451484710766,-122.409699087685,PRIV,N
TRE-25271,9403 27TH AV NE,Thuja plicata,Western Red Cedar,0,12,47.6966797685821,-122.299179327684,PRIV,N
TRE-47898,414 17TH AVE E,Acer macrophyllum,Bigleaf Maple,0,1,47.622482331761,-122.309949394038,PRIV,N
TRE-1793,5509 24TH AV NW,Acer glabrum,Dwarf (Rocky Mountain) Maple,0,3,47.6694171074913,-122.388249972715,PRIV,N
TRE-15401,14008 WAYNE PL N,Pinus ponderosa,Ponderosa Pine,0,19,47.7308116879557,-122.335233528054,PRIV,N
TRE-3884,918 NW 50TH ST,Acer circinatum,Vine Maple,0,1,47.6651035215994,-122.369481350152,PRIV,N
TRE-44217,231 HARVARD AVE E,Thuja plicata,Western Red Cedar,0,31,47.6208573386667,-122.322289153264,PRIV,N
TRE-19642,10512 20TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,25,47.7051588700056,-122.306129371582,PRIV,N
TRE-500128,2115 N 86TH ST,Acer macrophyllum,Bigleaf Maple,0,5,47.6907461080969,-122.332983997755,SDOT,N
TRE-500699,10/14/1992,Arbutus menziesii,(Pacific) Madrona,0,6,47.5663994072406,-122.325607841542,SDOT,N
TRE-75891,3463 41ST AV SW,Populus tremuloides,Quaking Aspen,0,1,47.5712924608426,-122.384870166113,PRIV,N
TRE-500164,,Betula papyrifera,Paper (Canoe) Birch,,10,47.6904491263289,-122.3313573211,SDOT,N
TRE-60522,1703 39TH AV,Populus tremuloides,Quaking Aspen,0,10,47.6165179604215,-122.283550644952,PRIV,N
TRE-500522,TRIANGLE,Pseudotsuga menziesii,Douglas Fir,0,1,47.6613099478127,-122.398072256004,SDOT,N
TRE-39973,2224 39TH AV E,Acer circinatum,Vine Maple,0,1,47.6388275730282,-122.282833952776,PRIV,N
TRE-16069,200 N 41ST ST,Thuja plicata,Western Red Cedar,0,46,47.6564047835551,-122.356285989289,PRIV,N
TRE-75576,3200 62ND AVE SW,Acer macrophyllum,Bigleaf Maple,0,59,47.5757948606245,-122.411967684721,PRIV,N
TRE-19857,11039 40TH AV NE,Thuja plicata,Western Red Cedar,0,8,47.7093919051245,-122.285441194972,PRIV,N
TRE-25866,2200 NE 88TH ST,Thuja plicata,Western Red Cedar,0,8,47.6920672951843,-122.305384611239,PRIV,N
TRE-82711,4501 45TH AV S,Fraxinus latifolia,Oregon Ash,0,6,47.5590291713814,-122.276910830153,PRIV,N
TRE-9908,6319 21ST AV NE,Acer circinatum,Vine Maple,0,6,47.675374918608,-122.305532953403,PRIV,N
TRE-25957,2308 NE 92ND ST,Thuja plicata,Western Red Cedar,0,37,47.6957787024413,-122.303568709092,PRIV,N
TRE-1041044,500 WARREN AVE N,Thuja plicata,Western Red Cedar,,30,47.6234709989618,-122.35300000209,SEAC,N
TRE-23295,9230 13TH AV NW,Tsuga heterophylla,Western Hemlock,0,11,47.6969123274825,-122.372639626407,PRIV,N
TRE-25738,2335 NE 92ND ST,Acer macrophyllum,Bigleaf Maple,0,27,47.6956911150022,-122.30259307277,PRIV,N
TRE-4165,5707 KIRKWOOD PL N,Thuja plicata,Western Red Cedar,0,24,47.6704516223755,-122.332762636317,PRIV,N
TRE-16054,118 N 41ST ST,Pseudotsuga menziesii,Douglas Fir,0,11,47.6566291361282,-122.356527951627,PRIV,N
TRE-44455,1818 HARAVRD AVE,Thuja plicata,Western Red Cedar,0,2,47.6181785733574,-122.322066494276,PRIV,N
TRE-13477,102 W GOVERNMENT WY,Betula papyrifera,Paper (Canoe) Birch,0,8,47.6599883300943,-122.398378659309,PRIV,N
TRE-89159,9366 56TH AV S,Acer circinatum,Vine Maple,0,1,47.5170352893648,-122.262767925032,PRIV,N
TRE-24617,559 NE 103RD ST,Thuja plicata,Western Red Cedar,0,11,47.702970541674,-122.320507852068,PRIV,N
TRE-58340,1523 E MADISON ST,Acer macrophyllum,Bigleaf Maple,0,30,47.6148140975717,-122.311552530797,PRIV,N
TRE-37809,269 E BOSTON ST,Acer circinatum,Vine Maple,0,4,47.638206979277,-122.32388937917,PRIV,N
TRE-25729,9706 20TH AV NE,Tsuga heterophylla,Western Hemlock,0,14,47.699426156645,-122.306706070524,PRIV,N
TRE-15082,136 NW 136TH ST,Tsuga heterophylla,Western Hemlock,0,4,47.7287034485361,-122.35896367014,PRIV,N
TRE-75581,3254 62ND AV SW,Acer macrophyllum,Bigleaf Maple,0,46,47.574173814191,-122.411805079922,PRIV,N
TRE-1299,3003 NW 65TH ST,Betula papyrifera,Paper (Canoe) Birch,0,9,47.6756347710915,-122.395760211394,PRIV,N
TRE-49391,102 DORFFEL DR E,Acer macrophyllum,Bigleaf Maple,0,16,47.6186012330166,-122.28424541616,PRIV,N
TRE-25874,2337 NE 86TH ST,Thuja plicata,Western Red Cedar,0,20,47.6911173048032,-122.30227860226,PRIV,N
TRE-18934,2150 N 113TH ST,Pseudotsuga menziesii,Douglas Fir,0,18,47.7105071342567,-122.331485592652,PRIV,N
TRE-25797,1724 NE 90TH ST,Pseudotsuga menziesii,Douglas Fir,0,30,47.693990196499,-122.308294210186,PRIV,N
TRE-12561,5556 36TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,18,47.6702373555877,-122.28903186618,PRIV,N
TRE-86643,4602 SW ROSE ST,Pseudotsuga menziesii,Douglas Fir,0,8,47.529794516082,-122.391865530184,PRIV,N
TRE-22012,3701 AURORA AVE N,Pinus contorta,Shore Pine,0,12,47.6522993133394,-122.347493539607,SDOT,N
TRE-1034445,5113 MERIDIAN AVE N,Arbutus menziesii,(Pacific) Madrona,0,3,47.6662209990043,-122.333800001494,PRIV,N
TRE-25632,10543 17TH AV NE,Pseudotsuga menziesii,Douglas Fir,0,20,47.7054815849554,-122.31001976793,PRIV,N
TRE-500357,2531 NE 45TH STREET,Pinus contorta,Shore Pine,0,16,47.660937930371,-122.299311051202,SDOT,N
TRE-8872,6237 32ND AV NE,Abies grandis,Grand (Giant) Fir,0,17,47.6751150678029,-122.293337943493,PRIV,N
TRE-15084,136 NW 136TH ST,Tsuga heterophylla,Western Hemlock,0,7,47.7287042636735,-122.358902734245,PRIV,N
TRE-14947,3717 28TH AV W,Pinus contorta,Shore Pine,0,6,47.6537644605726,-122.392971902975,PRIV,N
TRE-501174,4900 48TH AVE S,Pseudotsuga menziesii,Douglas Fir,0,21,47.5578767929416,-122.27317406764,SDOT,N
TRE-82858,4431 S BRANDON ST,Thuja plicata,Western Red Cedar,0,61,47.5533537607745,-122.277952450203,PRIV,N
TRE-17290,2312 N 140TH ST,Thuja plicata,Western Red Cedar,0,26,47.730514413725,-122.330941250729,PRIV,N
TRE-86713,9214 45TH AV SW,Acer circinatum,Vine Maple,0,1,47.5209422653158,-122.390131440238,PRIV,N
TRE-61772,7309 FREMONT AV N,Pseudotsuga menziesii,Douglas Fir,0,4,47.6820174973871,-122.349951205718,PRIV,N
TRE-32701,1618 9TH AV W,Pseudotsuga menziesii,Douglas Fir,0,2,47.6344457840211,-122.369005863317,PRIV,N
TRE-61255,334 N 81ST ST,Thuja plicata,Western Red Cedar,0,7,47.6877168026568,-122.353756119585,PRIV,N
TRE-17271,14310 CORLISS AV N,Pseudotsuga menziesii,Douglas Fir,0,36,47.7325747462867,-122.331484349679,PRIV,N
TRE-4196,5520 WOODLAWN AV N,Acer macrophyllum,Bigleaf Maple,0,6,47.6693143767858,-122.337909654755,PRIV,N
TRE-25419,8711 25TH PL NE,Tsuga heterophylla,Western Hemlock,0,39,47.6922347958839,-122.300475325229,PRIV,N
TRE-2661,330 NW 52ND ST,Betula papyrifera,Paper (Canoe) Birch,0,8,47.6665085964468,-122.362057935866,PRIV,N
TRE-16761,3658 13TH AVE W,Acer macrophyllum,Bigleaf Maple,0,4,47.6539871319959,-122.373150287774,PRIV,N
TRE-31634,4 BLAINE ST,Thuja plicata,Western Red Cedar,0,38,47.634790713013,-122.357172997507,PRIV,N
TRE-34290,1520 NOB HILL AV N,Betula papyrifera,Paper (Canoe) Birch,0,8,47.6328185196026,-122.350694986961,PRIV,N
